tl,hanzi,frequency,poj,tl_num,poj_num
ê,的,184693,ê,e5,e5
sī,是,103109,sī,si7,si7
á,仔,90696,á,a2,a2
i,伊,63255,i,i1,i1
bô,無,63119,bô,bo5,bo5
lâi,來,58294,lâi,lai5,lai5
ū,有,53685,ū,u7,u7
lâng,人,52526,lâng,lang5,lang5
tsi̍t,一,44439,chi̍t,tsit8,chit8
kóng,講,40867,kóng,kong2,kong2
khì,去,38728,khì,khi3,khi3
guá,我,36961,góa,gua2,goa2
thâu,頭,34601,thâu,thau5,thau5
sî,時,32755,sî,si5,si5
tâi,台,31281,tâi,tai5,tai5
tsin,真,31026,chin,tsin1,chin1
tuā,大,30086,tōa,tua7,toa7
koh,閣,29890,koh,koh4,koh4
a,阿,29473,a,a1,a1
tse,這,27958,che,tse1,che1
khuànn,看,27720,khòaⁿ,khuann3,khoann3
lí,你,27089,lí,li2,li2
sim,心,25770,sim,sim1,sim1
tshut,出,25088,chhut,tshut4,chhut4
sóo,所,24281,só͘,soo2,soo2
hó,好,23707,hó,ho2,ho2
huē,會,23113,hōe,hue7,hoe7
hē,會,23113,hē,he7,he7
tuì,對,22528,tùi,tui3,tui3
jîn,人,22442,jîn,jin5,jin5
bûn,文,22064,bûn,bun5,bun5
hit,彼,21517,hit,hit4,hit4
iú,有,21336,iú,iu2,iu2
tsiū,就,21083,chiū,tsiu7,chiu7
kok,國,21044,kok,kok4,kok4
ài,愛,19415,ài,ai3,ai3
bīn,面,18694,bīn,bin7,bin7
tsuè,做,18482,chòe,tsue3,choe3
ngóo,我,18480,ngó͘,ngoo2,ngoo2
tiong,中,18403,tiong,tiong1,tiong1
ha̍k,學,18199,ha̍k,hak8,hak8
tsuí,水,18181,chúi,tsui2,chui2
kā,共,18073,kā,ka7,ka7
lán,咱,17922,lán,lan2,lan2
kàu,到,17333,kàu,kau3,kau3
iōng,用,17269,iōng,iong7,iong7
āu,後,17177,āu,au7,au7
nî,年,16886,nî,ni5,ni5
it,一,16762,it,it4,it4
uē,話,16729,ōe,ue7,oe7
khí,起,16425,khí,khi2,khi2
lōo,路,16368,lō͘,loo7,loo7
tsia̍h,食,15378,chia̍h,tsiah8,chiah8
tsú,主,15274,chú,tsu2,chu2
kàu,教,15246,kàu,kau3,kau3
tshiú,手,15155,chhiú,tshiu2,chhiu2
iā,也,15065,iā,ia7,ia7
lāi,內,14406,lāi,lai7,lai7
ji̍t,日,14244,ji̍t,jit8,jit8
tāi,代,14215,tāi,tai7,tai7
kong,公,14120,kong,kong1,kong1
tsāi,在,14062,chāi,tsai7,chai7
káng,講,13931,káng,kang2,kang2
put,不,13916,put,put4,put4
pún,本,13828,pún,pun2,pun2
guā,外,13765,gōa,gua7,goa7
khah,較,13499,khah,khah4,khah4
liáu,了,13495,liáu,liau2,liau2
í,以,13230,í,i2,i2
sū,事,13101,sū,su7,su7
uî,為,12403,ûi,ui5,ui5
kang,工,12379,kang,kang1,kang1
tik,得,12251,tek,tik4,tek4
tshin,親,12094,chhin,tshin1,chhin1
ū,豫,12082,ū,u7,u7
ì,意,12059,ì,i3,i3
huat,法,11954,hoat,huat4,hoat4
lāu,老,11954,lāu,lau7,lau7
tāi,大,11861,tāi,tai7,tai7
lí,理,11858,lí,li2,li2
nā,若,11582,nā,na7,na7
khu,區,11573,khu,khu1,khu1
ka,家,11523,ka,ka1,ka1
